scenario_number,scenario,seed,algorithm,runtime_seconds,true_theta,first_invalid_step,noise_changed_decisions,ordinary_final_angular_error_degrees,ordinary_final_normalized_regret,ordinary_final_zero_regret_rate,ordinary_final_estimate_valid,ordinary_final_status,ordinary_first_threshold_step,ordinary_stable_threshold_step,ordinary_first_angular_threshold_step,ordinary_stable_angular_threshold_step,ordinary_first_joint_threshold_step,ordinary_stable_joint_threshold_step,balanced_final_angular_error_degrees,balanced_final_normalized_regret,balanced_final_zero_regret_rate,balanced_final_estimate_valid,balanced_final_status,balanced_first_threshold_step,balanced_stable_threshold_step,balanced_first_angular_threshold_step,balanced_stable_angular_threshold_step,balanced_first_joint_threshold_step,balanced_stable_joint_threshold_step
3,redundancy-6d,1,Score base model,14.889958699932322,"[-0.36882952177766304, 0.47049094068360664, -0.4570977145651937, 0.35233240587723413, -0.3265862362453278, 0.4504087521386134]",,4,7.11121699196251,0.0010605688147976692,0.9583333333333334,True,valid,6,6,13,,13,,7.11121699196251,0.0019820145546365344,0.9,True,valid,6,6,13,,13,
3,redundancy-6d,2,Pedro algorithm,0.10456969996448606,"[-0.41733606958819885, 0.44499283204304363, -0.43932349851043534, 0.4101734585638058, -0.3500642903726348, 0.3794991101481614]",,2,23.15450207263308,0.018347826953190403,0.775,True,valid,,,,,,,23.15450207263308,0.01149347065768127,0.8416666666666667,True,valid,,,,,,
3,redundancy-6d,2,Score base model,15.331918200012296,"[-0.41733606958819885, 0.44499283204304363, -0.43932349851043534, 0.4101734585638058, -0.3500642903726348, 0.3794991101481614]",,8,2.3435299316794524,0.0003207553405629403,0.9416666666666667,True,valid,4,4,7,13,7,13,2.3435299316794524,0.0003285932335575697,0.9416666666666667,True,valid,4,4,7,13,7,13
3,redundancy-6d,3,Pedro algorithm,0.104380700038746,"[-0.36424399699349225, 0.43533120610367015, -0.40114504461633627, 0.3839213784817736, -0.37505236352611054, 0.4783678548820139]",,0,41.148294332424065,0.01756101395451289,0.8583333333333333,True,valid,4,,,,,,41.148294332424065,0.02729215035447708,0.8,True,valid,4,,,,,
3,redundancy-6d,3,Score base model,14.936213499982841,"[-0.36424399699349225, 0.43533120610367015, -0.40114504461633627, 0.3839213784817736, -0.37505236352611054, 0.4783678548820139]",,5,1.6018947062541782,1.2234057479286435e-05,0.9916666666666667,True,valid,4,4,16,16,16,16,1.6018947062541782,4.235853668723959e-05,0.9916666666666667,True,valid,5,12,16,16,16,16
3,redundancy-6d,4,Pedro algorithm,0.09603720006998628,"[-0.3362653702687443, 0.4201347926036144, -0.3394808312677968, 0.4644791748239417, -0.4209157236692889, 0.449726774527042]",,1,26.04454247437872,0.0075073803204226885,0.9083333333333333,True,valid,10,10,,,,,26.04454247437872,0.021373432435547696,0.8333333333333334,True,valid,,,,,,
3,redundancy-6d,4,Score base model,13.847981099970639,"[-0.3362653702687443, 0.4201347926036144, -0.3394808312677968, 0.4644791748239417, -0.4209157236692889, 0.449726774527042]",,5,9.83051552364825,0.0009185019671316708,0.9666666666666667,True,valid,4,10,,,,,9.83051552364825,0.0008201332306325362,0.9666666666666667,True,valid,5,10,,,,
4,balanced-choice-4d,0,Pedro algorithm,0.07729250006377697,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,0,7.922649955080828,0.006626295324736977,0.95,True,valid,4,4,,,,,,,,,,,,,,,
4,balanced-choice-4d,0,Score base model,14.384516700054519,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,2,1.3084007879580442,0.0009459272801773132,0.975,True,valid,3,5,5,17,5,17,,,,,,,,,,,
4,balanced-choice-4d,1,Pedro algorithm,0.0753612999105826,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,0,20.83741042212659,0.025705263499374024,0.825,True,valid,,,,,,,,,,,,,,,,,
4,balanced-choice-4d,1,Score base model,14.21127259999048,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,3,2.0432470654761934,0.0,1.0,True,valid,5,5,9,15,9,15,,,,,,,,,,,
4,balanced-choice-4d,2,Pedro algorithm,0.08598170010372996,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,0,6.381982192619999,0.0030152408348287,0.95,True,valid,14,14,,,,,,,,,,,,,,,
4,balanced-choice-4d,2,Score base model,14.186740100034513,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,3,3.3760152711882405,0.0007712751864107657,0.975,True,valid,5,5,6,11,6,11,,,,,,,,,,,
4,balanced-choice-4d,3,Pedro algorithm,0.07750719995237887,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,0,11.864608676289926,0.011891214508329718,0.9,True,valid,8,,,,,,,,,,,,,,,,
4,balanced-choice-4d,3,Score base model,13.50985439994838,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,1,1.355973877944195,0.0001049201113232323,0.9833333333333333,True,valid,6,10,17,17,17,17,,,,,,,,,,,
4,balanced-choice-4d,4,Pedro algorithm,0.08734689990524203,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,0,6.3620001869729865,0.003126385566001185,0.9416666666666667,True,valid,9,9,,,,,,,,,,,,,,,
4,balanced-choice-4d,4,Score base model,14.897184599889442,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,5,1.9561573932102128,2.9319253148742242e-05,0.9916666666666667,True,valid,3,3,15,15,15,15,,,,,,,,,,,
